Variable,Importancia
num__MonthlyIncome,0.07179108156697699
num__Age,0.06232495344020186
num__TotalWorkingYears,0.052769398578546844
num__DailyRate,0.048721155756095064
num__YearsAtCompany,0.04624870230431705
num__DistanceFromHome,0.042894566701008975
num__HourlyRate,0.04243013467820082
num__MonthlyRate,0.041858123067399035
num__YearsWithCurrManager,0.03775568879429853
num__NumCompaniesWorked,0.03743613191212568
num__PercentSalaryHike,0.03271510592500079
cat__OverTime_Yes,0.030938838230176787
num__StockOptionLevel,0.030491297311250748
num__YearsInCurrentRole,0.028825789067523158
cat__OverTime_No,0.02784231463161915
